heater_id,elapsed_seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TS1,TS2,TS3,OT1,OT2,OT3,TC26 PSwitch,TC27 PSwitch
"Manometer Tree 50, 100 & 150 SP",9265,87.9785049,92.8612268,94.2113256,92.9678387,85.7774849,53.0324252,99.877368,95.023198,82.4578313,54.6665462,99.0845283,97.4535678,91.0798759,62.582149,104.094866,111.114581,115.727171,53.5672656,107.843245,110.990799,113.938921,52.0527057,114.071336,142.549024,41.9627536,48.0474144,48.5806027,42.5816851,0.13000133,0.0883487892,0.0901575804,,
"Manometer Tree 50, 100 & 150 SP",9270,87.9811413,92.8645373,94.2176007,92.9777185,85.7732807,53.1046224,99.871967,95.0354469,82.4568522,54.6745452,99.0831289,97.4712281,91.1059841,62.5487126,104.119068,111.102342,115.728663,53.54757,107.84165,111.010439,113.942626,51.9617643,114.069467,142.556055,42.1783591,48.112526,48.5961783,42.6962716,0.130355385,0.0894076542,0.0901947191,,
"Manometer Tree 50, 100 & 150 SP",9275,87.9899505,92.8834444,94.2460535,92.9929048,85.7742527,53.1214923,99.8811118,95.0543821,82.4746495,54.5885375,99.0790591,97.4831815,91.1150545,62.5431233,104.112642,111.133735,115.737872,53.4579684,107.852227,110.999082,113.952872,51.9056751,114.071103,142.540262,41.9853265,48.129429,48.610857,42.5841516,0.130007657,0.0886115109,0.0906288289,,
"Manometer Tree 50, 100 & 150 SP",9280,88.0036051,92.8925045,94.2598907,92.9882213,85.7984086,52.7172968,99.8878068,95.0661368,82.4723645,54.4292692,99.1082337,97.4899451,91.1375348,62.4505789,104.126858,111.141318,115.757557,53.5370418,107.875252,111.008505,113.94508,51.8529177,114.079508,142.542795,41.9685872,48.1832976,48.5310167,42.4667982,0.129916874,0.0886989932,0.0904214025,,
"Manometer Tree 50, 100 & 150 SP",9285,87.9964162,92.9030272,94.2562712,92.9845067,85.8152651,52.8061714,99.8941994,95.0655255,82.4611045,54.4319101,99.1012142,97.4743504,91.1274543,62.4315462,104.115547,111.144704,115.746682,53.2639531,107.862558,111.013493,113.945586,51.8489849,114.074847,142.554371,42.2848769,48.0668097,48.5182536,42.3271983,0.129777948,0.0892637762,0.090240661,,
"Manometer Tree 50, 100 & 150 SP",9290,87.9947352,92.9291045,94.2702051,92.9944371,85.7970294,53.0635397,99.8857265,95.0748121,82.4624842,54.5798777,99.1047103,97.4948711,91.1370328,62.450766,104.123849,111.151852,115.760796,53.4436769,107.875549,111.027856,113.968832,51.917847,114.079614,142.546914,41.968374,48.049509,48.534976,42.3238055,0.130155937,0.089757308,0.0899655597,,
"Manometer Tree 50, 100 & 150 SP",9295,88.0008134,92.9313101,94.2778989,93.0091571,85.7988956,53.0990697,99.8984972,95.071719,82.4678639,54.6676569,99.0998289,97.4953075,91.1337946,62.2465866,104.140395,111.158315,115.778542,53.3756721,107.88963,111.025548,113.954845,51.8699968,114.065302,142.528912,41.6614153,48.0581471,48.499111,42.3504263,0.130006007,0.0899226438,0.0903831635,,
"Manometer Tree 50, 100 & 150 SP",9300,88.0116872,92.9413982,94.2999526,93.0201565,85.8050002,53.0609501,99.9098669,95.0698806,82.4762662,54.6882113,99.1109229,97.4984867,91.148386,62.4161276,104.15107,111.159548,115.776088,53.4706328,107.88677,111.039488,113.973916,51.933346,114.07585,142.552427,41.9811301,48.09302,48.5469856,42.3031037,0.130100642,0.0893804191,0.0902995327,,
"Manometer Tree 50, 100 & 150 SP",9305,88.0042196,92.9571447,94.3046186,93.0224846,85.8098917,53.0519981,99.8977401,95.0568366,82.4724548,54.7724345,99.1073352,97.5146272,91.1497622,62.557234,104.137548,111.167748,115.784705,53.4520955,107.891939,111.035773,113.975901,51.8864537,114.075835,142.545917,41.7927598,48.121686,48.5413713,42.1734261,0.130487159,0.0895143935,0.0905248406,,
"Manometer Tree 50, 100 & 150 SP",9310,88.0019583,92.9636668,94.2855088,93.0162822,85.8034107,53.0904117,99.9027781,95.0724718,82.475258,54.7648902,99.1133465,97.4929689,91.1498754,62.5253466,104.148114,111.172442,115.779862,53.4303339,107.890012,111.048795,113.982759,51.8373224,114.074258,142.546292,41.7393568,48.1466474,48.5324551,42.243411,0.13023104,0.0895179698,0.0905080595,,
